,Unnamed: 0,addressType,basementArea,caseUrl,energyLabel,housingArea,lotArea,monthlyExpense,numberOfFloors,numberOfRooms,perAreaPrice,priceCash,priceChangePercentage,yearBuilt,municipalityCode,numberOfBuildings,zipCode,municipality,latitude,longitude,basement,lot
7922,7922,villa,0.0,https://home.dk/sag/6110002865,d,180.0,749.0,1970,2.0,6.0,15438.0,2795000,0.0,1877.0,766,1,8721,Hedensted,55.733692,9.715514,0,1
7923,7923,condo,9.0,https://www.realmaeglerne.dk/301-redirect/?mgl=R340&sagsnr=340-1647,d,65.0,0.0,3044,1.0,2.0,25385.0,1650000,0.0,1973.0,210,1,2980,Fredensborg,55.91571,12.494685,1,0
7924,7924,condo,3.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=371459&shopno=240100&fromsite=boligsiden&csref=boligsiden,d,83.0,0.0,1577,1.0,3.0,20422.0,1695000,0.0,1942.0,851,1,9000,Aalborg,57.041855,9.938297,1,0
7925,7925,condo,0.0,https://home.dk/sag/1740000607,d,67.0,0.0,2944,1.0,2.0,55955.0,3749000,0.0,1974.0,147,1,2000,Frederiksberg,55.685207,12.525845,0,0
7926,7926,holiday house,0.0,https://www.lokalbolig.dk/?sag=06-X0000911,,152.0,1400.0,3140,1.0,5.0,25368.0,3875000,0.0,1972.0,270,1,3230,Gribskov,56.10618,12.19874,0,1
7927,7927,condo,0.0,http://dmbolig.dk/redirect.php?sagsnr=DMALB-002543&mgl=3663,d,74.0,0.0,1139,5.0,2.0,23622.0,1748000,0.0,1916.0,851,1,9000,Aalborg,57.042667,9.920895,0,0
7928,7928,villa,72.0,https://www.lokalbolig.dk/?sag=37-X0000804,c,115.0,981.0,2563,3.0,5.0,28043.0,2995000,0.0,1950.0,370,1,4700,Næstved,55.25222,11.767867,1,1
7929,7929,holiday house,0.0,https://www.hedegaard-madsen.dk/sag.aspx?mgl=1545&sagsnr=FHE4725,,125.0,1314.0,3332,1.0,3.0,27009.0,3495000,0.0,2010.0,860,1,9881,Hjørring,57.60108,10.224083,0,1
7930,7930,villa,0.0,https://www.danbolig.dk?propertyid=2560000141&brokerid=256,c,212.0,792.0,2249,1.0,6.0,12939.0,2395000,0.0,1975.0,430,1,5750,Faaborg-Midtfyn,55.244537,10.47225,0,1
7931,7931,holiday house,0.0,https://www.villadsenbolig.dk/redirect/?caseno=VE0000979,,51.0,0.0,2383,2.0,3.0,3442.0,1048000,0.0,1928.0,849,1,9492,Jammerbugt,57.257664,9.614461,0,0
7932,7932,villa,0.0,https://www.minbolighandel.dk/1/visbolig.aspx?mgl=2202&sagsnr=22021082,c,154.0,761.0,3064,1.0,6.0,30796.0,4875000,0.0,2000.0,259,1,4600,Køge,55.443157,12.146423,0,1
7933,7933,villa,0.0,https://www.lokalbolig.dk/?sag=52-X0001476,c,162.0,924.0,2889,1.0,5.0,16888.0,2795000,0.0,1980.0,461,1,5220,Odense,55.387955,10.451342,0,1
7934,7934,villa,136.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=T301436&shopno=270017&fromsite=boligsiden&csref=boligsiden,c,136.0,728.0,2538,2.0,4.0,18043.0,3495000,0.0,1973.0,461,1,5210,Odense,55.41131,10.31956,1,1
7935,7935,condo,0.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=10870&shopno=102147&fromsite=boligsiden&csref=boligsiden,c,62.0,0.0,1402,2.0,2.0,12016.0,745000,0.0,1884.0,730,1,8900,Randers,56.46018,10.03597,0,0
7936,7936,villa,0.0,https://www.realmaeglerne.dk/301-redirect/?mgl=R304&sagsnr=304-0292,d,114.0,205.0,2785,1.0,5.0,27783.0,3195000,0.0,1971.0,240,1,3650,Egedal,55.774094,12.164236,0,1
7937,7937,villa,0.0,https://www.edc.dk/sag/?sagsnr=93802871,e,204.0,338.0,2458,2.0,5.0,5538.0,1145000,0.0,1917.0,851,1,9370,Aalborg,56.99643,10.307314,0,1
7938,7938,villa,59.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=N22020&shopno=260121&fromsite=boligsiden&csref=boligsiden,d,144.0,806.0,4642,2.0,5.0,39635.0,6845000,0.0,1939.0,159,1,2800,Gladsaxe,55.7551,12.490298,1,1
